Day;Hour;Residential;Hotel;Health care;Education;Office;Commerce;Public administration;Restaurant;Sport
01-jan;00:00;7,61E-05;0,00026729;0,000114155;0;0;0;0;0;0
01-jan;01:00;3,04E-05;0,00026729;0,000114155;0;0;0;0;0;0
01-jan;02:00;3,04E-05;0,00026729;0,000114155;0;0;0;0;0;0
01-jan;03:00;3,04E-05;0,00026729;0,000114155;0;0;0;0;0;0
01-jan;04:00;3,04E-05;0,00026729;0,000114155;0;0;0;0;0;0
01-jan;05:00;3,04E-05;0,00026729;0,000114155;0;0;0;0;0;0
01-jan;06:00;0,000304414;0,00026729;0,000114155;0;0;0;0;0;0
01-jan;07:00;0,000152207;0,00026729;0,000114155;0;0;0;0;7,40E-05;0,000239521
01-jan;08:00;7,61E-05;6,68E-05;0,000114155;0;0;0;0;7,40E-05;0,000239521
01-jan;09:00;7,61E-05;0;0,000114155;0;0;0;0;0,000148093;0,000239521
01-jan;10:00;7,61E-05;0;0,000114155;0;0;0;0;0,000148093;0,000239521
01-jan;11:00;7,61E-05;0;0,000114155;0;0;0;0;0,000148093;0,000239521
01-jan;12:00;7,61E-05;0;0,000114155;0;0;0;0;0,000296187;0,000239521
01-jan;13:00;7,61E-05;0;0,000114155;0;0;0;0;0,000296187;0,000239521
01-jan;14:00;7,61E-05;0;0,000114155;0;0;0;0;0,000148093;0,000239521
01-jan;15:00;0,000152207;0;0,000114155;0;0;0;0;7,40E-05;0,000239521
01-jan;16:00;0,000152207;0;0,000114155;0;0;0;0;7,40E-05;0,000239521
01-jan;17:00;0,000152207;0;0,000114155;0;0;0;0;7,40E-05;0,000239521
01-jan;18:00;0,000152207;0;0,000114155;0;0;0;0;0,000148093;0,000239521
01-jan;19:00;0,000152207;0;0,000114155;0;0;0;0;0,000296187;0,000239521
01-jan;20:00;0,000152207;0;0,000114155;0;0;0;0;0,000296187;0,000239521
01-jan;21:00;0,000152207;6,68E-05;0,000114155;0;0;0;0;0,000296187;0,000239521
01-jan;22:00;0,000152207;0,000200468;0,000114155;0;0;0;0;0,000148093;0
01-jan;23:00;0,000304414;0,00026729;0,000114155;0;0;0;0;0;0
02-jan;00:00;7,61E-05;0,00026729;0,000114155;0;0;0;0;0;0
02-jan;01:00;3,04E-05;0,00026729;0,000114155;0;0;0;0;0;0
02-jan;02:00;3,04E-05;0,00026729;0,000114155;0;0;0;0;0;0
02-jan;03:00;3,04E-05;0,00026729;0,000114155;0;0;0;0;0;0
02-jan;04:00;3,04E-05;0,00026729;0,000114155;0;0;0;0;0;0
02-jan;05:00;3,04E-05;0,00026729;0,000114155;0;0;0;0;0;0
02-jan;06:00;0,000304414;0,00026729;0,000114155;0;0;0;0;0;5,99E-05
02-jan;07:00;0,000152207;0,00026729;0,000114155;5,42E-05;0,000106838;0;0,000106838;7,40E-05;0,000239521
02-jan;08:00;7,61E-05;6,68E-05;0,000114155;0,000135428;0,000213675;0;0,000213675;7,40E-05;0,000239521
02-jan;09:00;7,61E-05;0;0,000114155;0,000406284;0,00042735;0,000300481;0,00042735;0,000148093;5,99E-05
02-jan;10:00;7,61E-05;0;0,000114155;0,000541712;0,00042735;0,000400641;0,00042735;0,000148093;5,99E-05
02-jan;11:00;7,61E-05;0;0,000114155;0,000541712;0,00042735;0,000400641;0,00042735;0,000148093;5,99E-05
02-jan;12:00;7,61E-05;0;0,000114155;0,000270856;0,000320513;0,000300481;0,000320513;0,000296187;0,000239521
02-jan;13:00;7,61E-05;0;0,000114155;0,000270856;0,000320513;0,000300481;0,000320513;0,000296187;0,000239521
02-jan;14:00;7,61E-05;0;0,000114155;0,000541712;0,00042735;0,000400641;0,00042735;0,000148093;0,00011976
02-jan;15:00;0,000152207;0;0,000114155;0,000541712;0,00042735;0,000400641;0,00042735;7,40E-05;0,00011976
02-jan;16:00;0,000152207;0;0,000114155;0,000270856;0,00042735;0,000400641;0,00042735;7,40E-05;0,00011976
02-jan;17:00;0,000152207;0;0,000114155;0,000270856;0,000213675;0,000300481;0,000213675;7,40E-05;0,00011976
02-jan;18:00;0,000152207;0;0,000114155;0;0,000106838;0;0,000106838;0,000148093;0,000239521
02-jan;19:00;0,000152207;0;0,000114155;0;0;0;0;0,000296187;0,000239521
02-jan;20:00;0,000152207;0;0,000114155;0;0;0;0;0,000296187;0,00011976
02-jan;21:00;0,000152207;6,68E-05;0,000114155;0;0;0;0;0,000296187;0,00011976
02-jan;22:00;0,000152207;0,000200468;0,000114155;0;0;0;0;0,000148093;0
02-jan;23:00;0,000304414;0,00026729;0,000114155;0;0;0;0;0;0
03-jan;00:00;7,61E-05;0,00026729;0,000114155;0;0;0;0;0;0
03-jan;01:00;3,04E-05;0,00026729;0,000114155;0;0;0;0;0;0
03-jan;02:00;3,04E-05;0,00026729;0,000114155;0;0;0;0;0;0
03-jan;03:00;3,04E-05;0,00026729;0,000114155;0;0;0;0;0;0
03-jan;04:00;3,04E-05;0,00026729;0,000114155;0;0;0;0;0;0
03-jan;05:00;3,04E-05;0,00026729;0,000114155;0;0;0;0;0;0
03-jan;06:00;0,000304414;0,00026729;0,000114155;0;0;0;0;0;5,99E-05
03-jan;07:00;0,000152207;0,00026729;0,000114155;5,42E-05;0,000106838;0;0,000106838;7,40E-05;0,000239521
03-jan;08:00;7,61E-05;6,68E-05;0,000114155;0,000135428;0,000213675;0;0,000213675;7,40E-05;0,000239521
03-jan;09:00;7,61E-05;0;0,000114155;0,000406284;0,00042735;0,000300481;0,00042735;0,000148093;5,99E-05
03-jan;10:00;7,61E-05;0;0,000114155;0,000541712;0,00042735;0,000400641;0,00042735;0,000148093;5,99E-05
03-jan;11:00;7,61E-05;0;0,000114155;0,000541712;0,00042735;0,000400641;0,00042735;0,000148093;5,99E-05
03-jan;12:00;7,61E-05;0;0,000114155;0,000270856;0,000320513;0,000300481;0,000320513;0,000296187;0,000239521
03-jan;13:00;7,61E-05;0;0,000114155;0,000270856;0,000320513;0,000300481;0,000320513;0,000296187;0,000239521
03-jan;14:00;7,61E-05;0;0,000114155;0,000541712;0,00042735;0,000400641;0,00042735;0,000148093;0,00011976
03-jan;15:00;0,000152207;0;0,000114155;0,000541712;0,00042735;0,000400641;0,00042735;7,40E-05;0,00011976
03-jan;16:00;0,000152207;0;0,000114155;0,000270856;0,00042735;0,000400641;0,00042735;7,40E-05;0,00011976
03-jan;17:00;0,000152207;0;0,000114155;0,000270856;0,000213675;0,000300481;0,000213675;7,40E-05;0,00011976
03-jan;18:00;0,000152207;0;0,000114155;0;0,000106838;0;0,000106838;0,000148093;0,000239521
03-jan;19:00;0,000152207;0;0,000114155;0;0;0;0;0,000296187;0,000239521
03-jan;20:00;0,000152207;0;0,000114155;0;0;0;0;0,000296187;0,00011976
03-jan;21:00;0,000152207;6,68E-05;0,000114155;0;0;0;0;0,000296187;0,00011976
03-jan;22:00;0,000152207;0,000200468;0,000114155;0;0;0;0;0,000148093;0
03-jan;23:00;0,000304414;0,00026729;0,000114155;0;0;0;0;0;0
04-jan;00:00;7,61E-05;0,00026729;0,000114155;0;0;0;0;0;0
04-jan;01:00;3,04E-05;0,00026729;0,000114155;0;0;0;0;0;0
04-jan;02:00;3,04E-05;0,00026729;0,000114155;0;0;0;0;0;0
04-jan;03:00;3,04E-05;0,00026729;0,000114155;0;0;0;0;0;0
04-jan;04:00;3,04E-05;0,00026729;0,000114155;0;0;0;0;0;0
04-jan;05:00;3,04E-05;0,00026729;0,000114155;0;0;0;0;0;0
